MD                  	REF                 
()                  	()                  
0.0                 	0.0                 
1.0                 	0.0                 
2.0                 	0.0                 
3.0                 	0.0                 
4.0                 	0.0                 
5.0                 	0.0                 
6.0                 	0.0                 
7.0                 	0.0                 
7.62                	0.0                 
8.620000000000001   	0.0                 
9.620000000000001   	0.0                 
10.620000000000001  	0.0                 
11.620000000000001  	0.0                 
12.620000000000001  	0.0                 
13.620000000000001  	0.0                 
14.620000000000001  	0.0                 
15.24               	0.0                 
16.240000000000002  	0.0                 
17.240000000000002  	0.0                 
18.240000000000002  	0.0                 
19.240000000000002  	0.0                 
20.240000000000002  	0.0                 
21.240000000000002  	0.0                 
22.240000000000002  	0.0                 
22.86               	0.0                 
23.86               	0.0                 
24.86               	0.0                 
25.86               	0.0                 
26.86               	0.0                 
27.86               	0.0                 
28.86               	0.0                 
29.86               	0.0                 
30.48               	0.0                 
31.48               	0.0                 
32.480000000000004  	0.0                 
33.480000000000004  	0.0                 
34.480000000000004  	0.0                 
35.480000000000004  	0.0                 
36.480000000000004  	0.0                 
37.480000000000004  	0.0                 
38.1                	0.0                 
39.1                	0.0                 
40.1                	0.0                 
41.1                	0.0                 
42.1                	0.0                 
43.1                	0.0                 
44.1                	0.0                 
45.1                	0.0                 
45.72               	0.0                 
46.72               	0.0                 
47.72               	0.0                 
48.72               	0.0                 
49.72               	0.0                 
50.72               	0.0                 
51.72               	0.0                 
52.72               	0.0                 
53.34               	0.0                 
54.34               	0.0                 
55.34               	0.0                 
56.34               	0.0                 
57.34               	0.0                 
58.34               	0.0                 
59.34               	0.0                 
60.34               	0.0                 
60.96               	0.0                 
61.96               	0.0                 
62.96               	0.0                 
63.96               	0.0                 
64.96000000000001   	0.0                 
65.96000000000001   	0.0                 
66.96000000000001   	0.0                 
67.96000000000001   	0.0                 
68.58               	0.0                 
69.58               	0.0                 
70.58               	0.0                 
71.58               	0.0                 
72.58               	0.0                 
73.58               	0.0                 
74.58               	0.0                 
75.58               	0.0                 
76.2                	0.0                 
77.2                	0.0                 
78.2                	0.0                 
79.2                	0.0                 
80.2                	0.0                 
81.2                	0.0                 
82.2                	0.0                 
83.2                	0.0                 
83.82000000000001   	0.0                 
84.82000000000001   	0.0                 
85.82000000000001   	0.0                 
86.82000000000001   	0.0                 
87.82000000000001   	0.0                 
88.82000000000001   	0.0                 
89.82000000000001   	0.0                 
90.82000000000001   	0.0                 
91.44               	0.0                 
92.44               	0.0                 
93.44               	0.0                 
94.44               	0.0                 
95.44               	0.0                 
96.44               	0.0                 
97.44               	0.0                 
98.44               	0.0                 
99.06               	0.0                 
100.06              	0.0                 
101.06              	0.0                 
102.06              	0.0                 
103.06              	0.0                 
