MD                	REF               
()                	()                
0.0               	0.0               
1.0               	1.0               
2.0               	2.0               
3.0               	3.0               
4.0               	4.0               
5.0               	5.0               
6.0               	6.0               
7.0               	7.0               
7.62              	7.62              
8.620000000000001 	8.620000000000001 
9.620000000000001 	9.620000000000001 
10.620000000000001	10.620000000000001
11.620000000000001	11.620000000000001
12.620000000000001	12.620000000000001
13.620000000000001	13.620000000000001
14.620000000000001	14.620000000000001
15.24             	15.24             
16.240000000000002	16.240000000000002
17.240000000000002	17.240000000000002
18.240000000000002	18.240000000000002
19.240000000000002	19.240000000000002
20.240000000000002	20.240000000000002
21.240000000000002	21.240000000000002
22.240000000000002	22.240000000000002
22.86             	22.86             
23.86             	23.86             
24.86             	24.86             
25.86             	25.86             
26.86             	26.86             
27.86             	27.86             
28.86             	28.86             
29.86             	29.86             
30.48             	30.48             
31.48             	31.48             
32.480000000000004	32.480000000000004
33.480000000000004	33.480000000000004
34.480000000000004	34.480000000000004
35.480000000000004	35.480000000000004
36.480000000000004	36.480000000000004
37.480000000000004	37.480000000000004
38.1              	38.1              
39.1              	39.1              
40.1              	40.1              
41.1              	41.1              
42.1              	42.1              
43.1              	43.1              
44.1              	44.1              
45.1              	45.1              
45.72             	45.72             
46.72             	46.72             
47.72             	47.72             
48.72             	48.72             
49.72             	49.72             
50.72             	50.72             
51.72             	51.72             
52.72             	52.72             
53.34             	53.34             
54.34             	54.34             
55.34             	55.34             
56.34             	56.34             
57.34             	57.34             
58.34             	58.34             
59.34             	59.34             
60.34             	60.34             
60.96             	60.96             
61.96             	61.96             
62.96             	62.96             
63.96             	63.96             
64.96000000000001 	64.96000000000001 
65.96000000000001 	65.96000000000001 
66.96000000000001 	66.96000000000001 
67.96000000000001 	67.96000000000001 
68.58             	68.58             
69.58             	69.58             
70.58             	70.58             
71.58             	71.58             
72.58             	72.58             
73.58             	73.58             
74.58             	74.58             
75.58             	75.58             
76.2              	76.2              
77.2              	77.2              
78.2              	78.2              
79.2              	79.2              
80.2              	80.2              
81.2              	81.2              
82.2              	82.2              
83.2              	83.2              
83.82000000000001 	83.82000000000001 
84.82000000000001 	84.82000000000001 
85.82000000000001 	85.82000000000001 
86.82000000000001 	86.82000000000001 
87.82000000000001 	87.82000000000001 
88.82000000000001 	88.82000000000001 
89.82000000000001 	89.82000000000001 
90.82000000000001 	90.82000000000001 
91.44             	91.44             
92.44             	92.44             
93.44             	93.44             
94.44             	94.44             
95.44             	95.44             
96.44             	96.44             
97.44             	97.44             
98.44             	98.44             
99.06             	99.06             
100.06            	100.06            
101.06            	101.06            
102.06            	102.06            
103.06            	103.06            
104.06            	104.06            
105.06            	105.06            
106.06            	106.06            
